area,year,pop,15_64,in_mig,out_mig,inc,emp,jun_high,sen_high,jun_col,sen_col,lf_tot,lf_m,lf_f,unemp,prim_emp,sec_emp,ter_emp
20349,2000,"4,937","2,862",159,129,"5,803,506",***,"1,452","1,892",414,271,"2,748","1,629","1,119",95,454,"1,150","1,048"
20350,2000,"7,807","4,371",-,-,"8,351,272",***,"2,194","3,057",654,441,"4,220","2,537","1,683",98,605,"1,658","1,853"
20361,2000,"23,930","15,299",928,"1,375","37,147,196",***,"5,189","9,919","2,302","2,329","13,405","7,728","5,677",553,186,"6,192","6,471"
20362,2000,"15,392","9,194",660,798,"20,456,659",***,"3,716","5,809","1,433","1,319","8,757","4,981","3,776",187,"1,432","3,353","3,774"
20363,2000,"7,207","4,360",360,311,"9,462,839",***,"1,699","2,644",653,593,"4,413","2,405","2,008",84,"1,434","1,162","1,731"
20382,2000,"22,407","14,052",679,"1,089","33,003,798",***,"4,703","9,613","2,139","1,745","12,469","7,240","5,229",385,741,"6,216","5,125"
20383,2000,"25,661","16,822","1,057","1,801","37,085,023",***,"4,737","11,457","2,193","1,961","15,089","8,750","6,339",430,"1,329","8,144","5,186"
20384,2000,"10,895","6,581",304,724,"14,035,894",***,"2,850","4,553",795,539,"6,321","3,561","2,760",131,"1,114","2,866","2,191"
20385,2000,"13,404","9,068",959,"1,373","19,461,841",***,"2,229","5,363","1,232","1,254","7,707","4,489","3,218",234,583,"3,560","3,327"
20386,2000,"5,475","3,201",118,137,"6,413,963",***,"1,476","2,155",431,217,"3,222","1,759","1,463",55,827,"1,215","1,125"
20388,2000,"8,692","5,478",399,374,"12,762,509",***,"1,948","3,435",792,665,"4,907","2,845","2,062",125,393,"2,349","2,040"
20402,2000,"14,070","8,405",474,445,"17,378,185",***,"3,938","5,453",979,661,"8,426","4,626","3,800",147,"2,158","2,922","3,197"
20403,2000,"12,528","7,619",496,452,"16,004,267",***,"3,239","4,896",987,760,"7,532","4,122","3,410",154,"1,691","2,451","3,210"
20404,2000,"6,232","3,202",223,202,"6,256,444",***,"2,594","1,870",418,220,"3,009","1,719","1,290",44,462,"1,109","1,390"
